area,bhk,bedrooms,bathrooms,balcony,price,price_per_sqft,area_per_bhk,bathrooms_per_bhk,location_Khandwa Road Indore,location_Mhow Indore,location_Other,location_Rau Indore,location_Super Corridor Indore,location_Ujjain Indore Road Indore,property_type_House,property_type_Villa,furnishing_Semi-Furnished,furnishing_Unfurnished
1050.0,2.0,2.0,2.0,2.0,11000000.0,10476.190476190477,525.0,1.0,False,False,True,False,False,False,True,False,False,True
720.0,2.0,2.0,2.0,2.0,8000000.0,11111.111111111111,360.0,1.0,False,False,True,False,False,False,True,False,False,True
2000.0,5.0,5.0,2.0,2.0,4800000.0,2400.0,400.0,0.4,False,False,True,False,False,False,True,False,False,True
350.0,3.0,3.0,2.0,2.0,1800000.0,5142.857142857143,116.66666666666667,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
600.0,2.0,2.0,2.0,2.0,2600000.0,4333.333333333333,300.0,1.0,False,False,True,False,False,False,True,False,False,True
800.0,2.0,2.0,2.0,2.0,2880000.0,3600.0,400.0,1.0,False,False,True,False,False,False,True,False,False,True
1142.0,2.0,2.0,2.0,2.0,6850000.0,5998.248686514886,571.0,1.0,False,False,True,False,False,False,True,False,False,True
880.0,2.0,2.0,2.0,2.0,8500000.0,9659.09090909091,440.0,1.0,False,False,True,False,False,False,True,False,False,True
1050.0,2.0,2.0,2.0,2.0,4200000.0,4000.0,525.0,1.0,False,False,True,False,False,False,True,False,False,True
704.0,2.0,2.0,2.0,2.0,3150000.0,4474.431818181818,352.0,1.0,False,False,True,False,False,False,True,False,False,True
1800.0,2.0,2.0,2.0,2.0,12500000.0,6944.444444444444,900.0,1.0,False,False,True,False,False,False,False,True,False,True
1110.0,2.0,2.0,2.0,2.0,6500000.0,5855.855855855856,555.0,1.0,False,False,True,False,False,False,True,False,False,True
1200.0,3.0,3.0,2.0,2.0,5000000.0,4166.666666666667,400.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1260.0,3.0,3.0,2.0,2.0,9000000.0,7142.857142857143,420.0,0.6666666666666666,False,False,True,False,False,False,False,True,False,True
3000.0,7.0,7.0,2.0,2.0,18000000.0,6000.0,428.57142857142856,0.2857142857142857,False,False,True,False,False,False,True,False,False,True
840.0,2.0,2.0,2.0,2.0,3200000.0,3809.5238095238096,420.0,1.0,False,False,True,False,False,False,True,False,False,True
1672.0,3.0,3.0,2.0,2.0,7200000.0,4306.2200956937795,557.3333333333334,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
350.0,2.0,2.0,2.0,2.0,4600000.0,13142.857142857143,175.0,1.0,False,False,True,False,False,False,True,False,False,True
800.0,2.0,2.0,2.0,2.0,3500000.0,4375.0,400.0,1.0,False,False,True,False,False,False,True,False,True,False
850.0,3.0,3.0,2.0,2.0,3030000.0,3564.705882352941,283.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
600.0,2.0,2.0,2.0,2.0,4880000.0,8133.333333333333,300.0,1.0,False,False,True,False,False,False,True,False,False,True
1700.0,3.0,3.0,2.0,2.0,5950000.0,3500.0,566.6666666666666,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
968.0,2.0,2.0,2.0,2.0,3000000.0,3099.1735537190084,484.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,3100000.0,3100.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
750.0,2.0,2.0,2.0,2.0,2330000.0,3106.6666666666665,375.0,1.0,False,False,True,False,False,False,True,False,False,True
1400.0,3.0,3.0,2.0,3.0,8000000.0,5714.285714285715,466.6666666666667,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1127.0,2.0,2.0,2.0,2.0,3940000.0,3496.0070984915706,563.5,1.0,False,False,True,False,False,False,True,False,True,False
1200.0,3.0,3.0,2.0,2.0,3000000.0,2500.0,400.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1300.0,2.0,2.0,2.0,2.0,6500000.0,5000.0,650.0,1.0,False,False,True,False,False,False,True,False,True,False
1150.0,3.0,3.0,2.0,4.0,18100000.0,15739.130434782608,383.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
655.0,1.0,1.0,2.0,1.0,3400000.0,5190.839694656489,655.0,2.0,False,False,True,False,False,False,True,False,False,False
600.0,3.0,3.0,2.0,2.0,3779999.9999999995,6299.999999999999,200.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
600.0,1.0,1.0,2.0,2.0,1820000.0,3033.3333333333335,600.0,2.0,False,False,True,False,False,False,True,False,False,True
860.0,2.0,2.0,2.0,2.0,2600000.0,3023.2558139534885,430.0,1.0,False,False,True,False,False,False,True,False,False,False
600.0,3.0,3.0,2.0,2.0,5450000.0,9083.333333333334,200.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1000.0,2.0,2.0,2.0,2.0,3030000.0,3030.0,500.0,1.0,False,False,True,False,False,False,True,False,True,False
1500.0,6.0,6.0,2.0,2.0,4540000.0,3026.6666666666665,250.0,0.3333333333333333,False,False,True,False,False,False,True,False,False,True
638.0,2.0,2.0,2.0,2.0,2230000.0,3495.297805642633,319.0,1.0,False,False,True,False,False,False,True,False,False,True
700.0,1.0,1.0,2.0,2.0,2270000.0,3242.8571428571427,700.0,2.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,15500000.0,15500.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
1200.0,2.0,2.0,2.0,2.0,3720000.0000000005,3100.0000000000005,600.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,3.0,3.0,2.0,2.0,5250000.0,5250.0,333.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
900.0,6.0,6.0,2.0,2.0,2720000.0,3022.222222222222,150.0,0.3333333333333333,False,False,True,False,False,False,True,False,True,False
4000.0,2.0,2.0,2.0,2.0,12100000.0,3025.0,2000.0,1.0,False,False,True,False,False,False,True,False,False,True
850.0,2.0,2.0,2.0,2.0,2500000.0,2941.176470588235,425.0,1.0,False,False,True,False,False,False,False,True,False,True
1564.0,3.0,3.0,2.0,2.0,5470000.0,3497.442455242967,521.3333333333334,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1500.0,3.0,3.0,2.0,2.0,5250000.0,3500.0,500.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
600.0,2.0,2.0,2.0,2.0,1320000.0,2200.0,300.0,1.0,False,False,True,False,False,False,True,False,False,True
2750.0,4.0,4.0,2.0,2.0,11100000.000000002,4036.363636363637,687.5,0.5,False,False,True,False,False,False,False,True,True,False
675.0,2.0,2.0,2.0,2.0,5000000.0,7407.407407407408,337.5,1.0,False,False,True,False,False,False,True,False,False,True
5000.0,2.0,2.0,2.0,2.0,25000000.0,5000.0,2500.0,1.0,False,False,True,False,False,False,True,False,False,True
765.0,3.0,3.0,2.0,2.0,9000000.0,11764.70588235294,255.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1350.0,3.0,3.0,2.0,2.0,3500000.0,2592.5925925925926,450.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
400.0,1.0,1.0,2.0,1.0,1280000.0,3200.0,400.0,2.0,False,False,False,False,False,False,True,False,True,False
1800.0,2.0,2.0,2.0,2.0,3000000.0,1666.6666666666667,900.0,1.0,False,False,False,False,True,False,True,False,False,True
1200.0,3.0,3.0,2.0,2.0,8500000.0,7083.333333333333,400.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1000.0,2.0,2.0,2.0,2.0,3100000.0,3100.0,500.0,1.0,False,False,True,False,False,False,True,False,False,True
750.0,2.0,2.0,2.0,2.0,2270000.0,3026.6666666666665,375.0,1.0,False,False,True,False,False,False,True,False,True,False
1170.0,2.0,2.0,2.0,2.0,3700000.0,3162.3931623931626,585.0,1.0,False,False,True,False,False,False,False,True,True,False
1500.0,3.0,3.0,2.0,2.0,5250000.0,3500.0,500.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,False
1000.0,3.0,3.0,2.0,2.0,3500000.0,3500.0,333.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,False,False
500.0,1.0,1.0,2.0,2.0,1510000.0,3020.0,500.0,2.0,False,False,True,False,False,False,True,False,False,True
2000.0,2.0,2.0,2.0,2.0,4000000.0,2000.0,1000.0,1.0,False,False,True,False,False,False,True,False,False,True
1500.0,3.0,3.0,2.0,2.0,4540000.0,3026.6666666666665,500.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
963.0,2.0,2.0,2.0,2.0,4500000.0,4672.897196261682,481.5,1.0,False,False,True,False,False,False,True,False,False,False
2800.0,3.0,3.0,2.0,3.0,14500000.0,5178.571428571428,933.3333333333334,0.6666666666666666,False,False,True,False,False,False,True,False,False,False
2500.0,9.0,9.0,2.0,10.0,30000000.0,12000.0,277.77777777777777,0.2222222222222222,False,False,True,False,False,False,True,False,True,False
300.0,1.0,1.0,2.0,1.0,1350000.0,4500.0,300.0,2.0,False,False,True,False,False,False,True,False,False,True
1560.0,3.0,3.0,2.0,2.0,5000000.0,3205.128205128205,520.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,True
1550.0,2.0,2.0,2.0,2.0,11000000.0,7096.774193548387,775.0,1.0,False,False,True,False,False,False,True,False,False,True
915.0,2.0,2.0,2.0,2.0,3200000.0,3497.2677595628415,457.5,1.0,False,False,True,False,False,False,True,False,True,False
550.0,1.0,1.0,2.0,2.0,1930000.0,3509.090909090909,550.0,2.0,False,False,True,False,False,False,True,False,False,True
1285.0,3.0,3.0,2.0,2.0,4500000.0,3501.9455252918287,428.3333333333333,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1800.0,7.0,7.0,2.0,2.0,6300000.0,3500.0,257.14285714285717,0.2857142857142857,False,False,True,False,False,False,True,False,True,False
2142.0,3.0,3.0,2.0,2.0,7500000.0,3501.4005602240895,714.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1325.0,2.0,2.0,2.0,2.0,4640000.0,3501.8867924528304,662.5,1.0,False,False,True,False,False,False,True,False,True,False
