price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹5 Cr,2759,4,,"4 BHK Flat  for Sale in  Piplya Kumar, Indore",4,,Furnished,5
₹56 Lac,1147,2,,"2 BHK Flat  for Sale in  Nipania, Indore",2,,Semi-Furnished,2
₹1 Cr,2500,5,,"5 BHK  House for Sale in Singapore Township Plot Phase l, Talawali Chanda Indore",5,House,Semi-Furnished,4
₹60 Lac,1365,3,,3 BHK Villa for Sale in Devguradia Indore,3,Villa,Semi-Furnished,3
₹2.15 Cr,3591,,,"Plot/Land for Sale in Aarone Countywalk, Jhalariya Indore",,,,
₹88 Lac,1000,3,,"3 BHK  House for Sale in Treasure Fantasy, RRCAT Road Indore",3,House,Semi-Furnished,4
₹39.3 Lac,750,2,,"2 BHK Flat  for Sale in  Bengali Square, Indore",2,,Semi-Furnished,2
₹1.59 Cr,1100,3,,"3 BHK  House for Sale in Goyal Vihar Avenue, Goyal Vihar Indore",3,House,Unfurnished,3
₹21 Lac,826,2,,"2 BHK Flat  for Sale in  Sunil Nilgiri Apartment, Sunil Nilgiri Apartment, Kalindi Mectown, Indore",2,Apartment,Unfurnished,2
₹3 Cr,3000,6,,6 BHK Villa for Sale in Residency Area Indore,6,Villa,Semi-Furnished,6
₹28 Lac,800,,,"Plot/Land for Sale in RL Lemon City, Super Corridor Indore",,,,
₹1.50 Cr,1500,4,,4 BHK  House for Sale in Nihalpur Mundi Indore,4,House,Semi-Furnished,
₹3.95 Cr,5000,10,,10 BHK  House for Sale in Mahalakshmi Nagar Indore,10,House,Furnished,10
₹1.10 Cr,1000,2,,"2 BHK Flat  for Sale in  Tiara Residence, Tiara Residence, Bicholi Hapsi, Indore",2,,Furnished,2
₹58 Lac,1600,3,,"3 BHK  House for Sale in Sarthak Singapore Green View Row Houses, Talawali Chanda Indore",3,House,Semi-Furnished,3
₹2.35 Cr,2225,3,,"3 BHK  House for Sale in Ansals Town, Talawali Chanda Indore",3,House,Semi-Furnished,4
₹2.60 Cr,3500,,,Industrial Building for Sale in Mahalakshmi Nagar Indore,,,,
₹31 Lac,983,3,,"3 BHK Flat  for Sale in  Treasure Vihar, Treasure Vihar, Bijalpur, Indore",3,,Semi-Furnished,
₹2.95 Cr,1500,6,,6 BHK  House for Sale in Pipliya Rao Indore,6,House,Furnished,5
₹72.5 Lac,1080,3,,"3 BHK Flat  for Sale in  Pearl Palms, Pearl Palms, Niranjanpur, Indore",3,,Unfurnished,3
₹1.50 Cr,2800,5,,"5 BHK Villa for Sale in Singapore Gold City, Indore Bypass Road Indore",5,Villa,Semi-Furnished,5
₹27 Lac,580,1,,"1 BHK Flat  for Sale in  Sampath Hills, Indore",1,,Furnished,1
₹5 Cr,2000,,,Plot/Land for Sale in 78 part 2 Indore,,,,
₹1.15 Cr,1334,,,"Plot/Land for Sale in Ansals Town, Mangliya Gaon Indore",,,,
₹21 Lac,600,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹17 Lac,669,1,,"1 BHK Flat  for Sale in  Rau Pithampur Road, Indore",1,,Semi-Furnished,1
₹4.30 Cr,3500,,,"Plot/Land for Sale in SS Infinitus, Nipania Indore",,,,
₹68.4 Lac,1140,2,,"2 BHK Flat  for Sale in  Ujjain Indore Road, Indore",2,,Unfurnished,2
₹72 Lac,1200,,,Plot/Land for Sale in Indore Bypass Road Indore,,,,
₹24 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹65.6 Lac,1250,,,"Plot/Land for Sale in Limbodagari Siddhi Olympia, Super Corridor Indore",,,,
₹82.2 Lac,1264,5,,"Plot/Land for Sale in Shikharji Dreamz, Indore Bypass Road Indore",5,,,
₹50 Lac,750,2,,"2 BHK Flat  for Sale in  Omaxe City, Omaxe City, Omaxe City 1, Indore",2,,Unfurnished,2
₹1.12 Cr,1500,,,"Plot/Land for Sale in Sarthak Singapore Palm, Super Corridor Indore",,,,
₹55 Lac,1000,,,"Plot/Land for Sale in Omaxe Aanandam, Omaxe City 1 Indore",,,,
₹35 Lac,1000,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹25.6 Lac,800,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹63.2 Lac,,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹45 Lac,1000,2,,"2 BHK Villa for Sale in Serenity By Pumarth, Indore Bypass Road Indore",2,Villa,Unfurnished,
₹75 Lac,1000,,,"Plot/Land for Sale in Solitaire Park, Indore Bypass Road Indore",,,,
₹13 Lac,800,,,Plot/Land for Sale in Indore Bypass Road Indore,,,,
₹83 Lac,246,,,Shop for Sale in Patnipura Indore,,,,
₹1.41 Cr,1500,3,,"3 BHK Flat  for Sale in  Manikbagh, Indore",3,,Furnished,
₹44 Lac,,,,Plot/Land for Sale in Premium Park Colony Indore,,,,
