price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹22.7 Lac,750,3,,3 BHK  House for Sale in Nand Nagar Indore,3,House,Unfurnished,
₹1.45 Cr,4800,10,,> 10 BHK  House for Sale in Nand Nagar Indore,10,House,Unfurnished,
₹45 Lac,1300,2,,"2 BHK Flat  for Sale in  Nand Nagar, Indore",2,,Semi-Furnished,
₹55 Lac,800,6,,6 BHK Villa for Sale in Mayur Nagar Indore,6,Villa,Unfurnished,
₹25.4 Lac,840,2,,2 BHK  House for Sale in Mayur Nagar Indore,2,House,Unfurnished,
₹1.20 Cr,4500,10,,10 BHK Villa for Sale in Mayur Nagar Indore,10,Villa,Unfurnished,
₹48.4 Lac,1600,4,,4 BHK  House for Sale in Mayur Nagar Indore,4,House,Furnished,
₹17 Lac,800,2,,"2 BHK Flat  for Sale in  Musakhedi, Indore",2,,Unfurnished,
₹72.6 Lac,2400,5,,5 BHK  House for Sale in Musakhedi Indore,5,House,Unfurnished,
₹45.4 Lac,1500,3,,3 BHK  House for Sale in Musakhedi Indore,3,House,Semi-Furnished,
₹2.10 Cr,21000,,,Land for Sale in Musakhedi Indore,,,,
₹90.8 Lac,,5,,5 BHK  House for Sale in Sainath Colony Indore,5,House,Unfurnished,
₹72.6 Lac,2400,8,,8 BHK  House for Sale in Scheme No. 54 Indore,8,House,Semi-Furnished,
₹52.5 Lac,1500,3,,"3 BHK Flat  for Sale in  Scheme No. 54, Indore",3,,Furnished,
₹1.04 Cr,3450,6,,6 BHK  House for Sale in Residency Area Indore,6,House,Unfurnished,
₹60.5 Lac,2000,5,,5 BHK  House for Sale in Residency Area Indore,5,House,Semi-Furnished,
₹10.5 Lac,122,,,Shop for Sale in Sindhi Colony Indore,,,,
₹48.4 Lac,1600,5,,5 BHK  House for Sale in Sindhi Colony Indore,5,House,Unfurnished,
₹1.50 Cr,600,,,Shop for Sale in Transport Nagar Indore,,,,
₹80 Lac,720,,,Shop for Sale in Transport Nagar Indore,,,,
₹28 Lac,800,2,,"2 BHK Flat  for Sale in  Prem Nagar, Indore",2,,Furnished,
₹27 Lac,950,2,,"2 BHK Flat  for Sale in  Prem Nagar, Indore",2,,Semi-Furnished,
₹26 Lac,650,2,,"2 BHK Flat  for Sale in  Prem Nagar, Indore",2,,Semi-Furnished,
₹38.5 Lac,850,3,,"3 BHK Flat  for Sale in  Prem Nagar, Indore",3,,Furnished,
₹43.4 Lac,880,2,,"2 BHK Flat  for Sale in  Vishnupuri Colony, Indore",2,,Unfurnished,
₹1.51 Cr,5000,,,House for Sale in Vishnupuri Colony Indore,,House,Semi-Furnished,
₹90.8 Lac,3000,5,,5 BHK  House for Sale in Dravid Nagar Indore,5,House,Semi-Furnished,
₹30.3 Lac,1000,1,,1 BHK  House for Sale in Dravid Nagar Indore,1,House,,
₹66.6 Lac,,4,,4 BHK  House for Sale in Dravid Nagar Indore,4,House,Unfurnished,
₹35 Lac,980,2,,"2 BHK Flat  for Sale in  Dravid Nagar, Indore",2,,Unfurnished,
₹31.5 Lac,900,2,,"2 BHK Flat  for Sale in  Dravid Nagar, Indore",2,,Furnished,
₹18.2 Lac,600,2,,2 BHK  House for Sale in Chandan Nagar Indore,2,House,Semi-Furnished,
₹26.6 Lac,880,1,,1 BHK  House for Sale in Chandan Nagar Indore,1,House,Semi-Furnished,
₹80 Lac,2170,4,,"4 BHK Flat  for Sale in  Mahesh Nagar, Indore",4,,Semi-Furnished,
₹74.4 Lac,2400,,,Plot/Land for Sale in Mahesh Nagar Indore,,,,
₹16 Lac,540,1,,"1 BHK Flat  for Sale in  Amans Park, Amans Park, Rau Road, Indore",1,,Semi-Furnished,1
₹1.21 Cr,4300,5,,"5 BHK  House for Sale in Platinum Paradise, Indore Bypass Road Indore",5,House,Semi-Furnished,5
₹1.90 Cr,1400,3,,3 BHK Villa for Sale in Bhawanipur colony near Annapurna tample Indore,3,Villa,Semi-Furnished,3
₹40 Lac,,,,"Plot/Land for Sale in Laabham Highlights, Simrol Indore",,,,
₹25 Lac,800,2,,"2 BHK Flat  for Sale in  Rajendra Nagar, Indore",2,Apartment,Unfurnished,2
₹64.9 Lac,,2,,"2 BHK Flat  for Sale in  Nipania, Indore",2,,,
₹26 Lac,430,1,,"1 BHK Flat  for Sale in  Golden Palms, Golden Palms, Vijay Nagar, Indore",1,,Semi-Furnished,1
₹25 Lac,945,2,,"2 BHK Flat  for Sale in  Karol Bagh Grand, Karol Bagh Grand, Super Corridor, Indore",2,,Semi-Furnished,
₹45 Lac,1100,2,,"2 BHK Flat  for Sale in  Hukma Khedi, Indore",2,,Semi-Furnished,2
₹9.9 Lac,500,1,,1 BHK  House for Sale in Pithampur Indore,1,House,Unfurnished,1
₹90 Lac,1050,,,Office Space for Sale in RNT Marg Indore,,,,
₹44 Lac,800,,,Plot/Land for Sale in Manglaya Sadak Indore,,,,
₹12.5 Lac,,,,Agricultural Land for Sale in maheshwar Indore,,,,
₹26.3 Lac,,,,"Agricultural Land for Sale in Amazing Farms, Indore Bypass Road Indore",,,,
₹17 Lac,500,1,,"1 BHK Flat  for Sale in  Annapurna Road Prabhu Nagar, Indore",1,,Semi-Furnished,1
₹33 Lac,800,2,,"2 BHK Flat  for Sale in  Tilak Nagar, Indore",2,,Unfurnished,2
₹63.5 Lac,818,,,Plot/Land for Sale in Chhota Bangarda Indore,,,,
₹60 Lac,1050,2,,"2 BHK Flat  for Sale in  Shiv Vatika Brij Residency, Shiv Vatika Brij Residency, Nipania, Indore",2,,Furnished,
₹75 Lac,500,4,,4 BHK  House for Sale in Tulsi Nagar Indore,4,House,Semi-Furnished,4
₹75.6 Lac,2500,4,,4 BHK  House for Sale in Mangal Nagar Indore,4,House,Semi-Furnished,
₹33.3 Lac,1100,2,,2 BHK  House for Sale in Mangal Nagar Indore,2,House,Semi-Furnished,
₹54.5 Lac,1800,1,,1 BHK  House for Sale in Mangal Nagar Indore,1,House,Unfurnished,
₹12.1 Lac,400,1,,1 BHK  House for Sale in Sawariya Nagar Indore,1,House,Semi-Furnished,
₹38 Lac,1067,2,,"2 BHK Flat  for Sale in  Vijay Nagar, Indore",2,,Unfurnished,
₹21 Lac,609,1,,"1 BHK Flat  for Sale in  Vijay Nagar, Indore",1,,Unfurnished,
₹26 Lac,775,1,,"1 BHK Flat  for Sale in  Mrigank Residency, Mrigank Residency, Ujjain Road Pologround Industrial Estate, Indore",1,,Unfurnished,1
₹1.33 Cr,3800,4,,"4 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",4,,Unfurnished,
₹1.33 Cr,3800,4,,"4 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",4,,Unfurnished,
₹1.12 Cr,3200,3,,"3 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",3,,Unfurnished,
₹20 Lac,725,1,,1 BHK  House for Sale in bhole vihar Colony Indore,1,House,Unfurnished,
₹60 Lac,1500,,,"Plot/Land for Sale in Singapore Lifestyle Premium, Bada Bangarda Indore",,,,
₹60 Lac,500,,,Plot/Land for Sale in Sudama Nagar Indore,,,,
₹1.33 Cr,3800,4,,"4 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",4,,Unfurnished,
₹1.12 Cr,3200,3,,"3 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",3,,Unfurnished,
₹1.12 Cr,3200,3,,"3 BHK Flat  for Sale in  Yeshwant Niwas Road, Indore",3,,Unfurnished,
₹48.5 Lac,708,,,"Plot/Land for Sale in Mahima Smart City, Bada Bangarda Indore",,,,
₹80 Lac,1300,3,,3 BHK Flat  for Sale in   Indore,3,,Semi-Furnished,3
₹65 Lac,1800,,,"Plot/Land for Sale in Jrpl Garden City, Palakhedi Indore",,,,
₹1.80 Cr,2600,5,,5 BHK  House for Sale in Sudama Nagar Indore,5,House,Semi-Furnished,5
₹48 Lac,600,2,,2 BHK  House for Sale in Lotus garden colony indore Indore,2,House,Furnished,2
₹23 Lac,450,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹4.40 Cr,2400,4,,4 BHK Villa for Sale in Khatiwala Tank Indore,4,Villa,Unfurnished,4
₹16 Lac,590,1,,"1 BHK Flat  for Sale in  Sai Enclave, Sai Enclave, Silicon City, Indore",1,,Unfurnished,
₹97.7 Lac,1550,,,"Plot/Land for Sale in Sarthak Singapore Lifestyle, Bada Bangarda Indore",,,,
₹55 Lac,1552,3,,"3 BHK Flat  for Sale in  Shubh Labh Tirumala Town, Shubh Labh Tirumala Town, Chhota Bangarda, Indore",3,,Unfurnished,3
₹63.9 Lac,1163,,,"Plot/Land for Sale in Omaxe Hills, Indore Bypass Road Indore",,,,
₹2.51 Cr,3590,,,Plot/Land for Sale in Jhalariya Indore,,,,
₹24 Lac,850,2,,"2 BHK Flat  for Sale in  Palash Parishar, Palash Parishar, Silicon City, Indore",2,,Unfurnished,2
₹43 Lac,750,2,,2 BHK  House for Sale in Sangam Nagar Indore,2,House,Unfurnished,4
₹50 Lac,,,,Agricultural Land for Sale in Janakpur badia haat Indore,,,,
₹35 Lac,808,2,,"2 BHK Flat  for Sale in  Vaibhav Nagar, Vaibhav Nagar, Vaibhav nagar, Indore",2,,Unfurnished,
₹45.7 Lac,1270,2,,"2 BHK Flat  for Sale in  Bicholi Hapsi, Indore",2,,Unfurnished,
₹17 Lac,585,1,,"1 BHK Flat  for Sale in  Bhawrasla, Indore",1,,Unfurnished,
₹5 Lac,450,1,,"1 BHK Flat  for Sale in  Rau Pithampur Road, Indore",1,,Unfurnished,
₹2 Cr,1000,4,,"4 BHK Villa for Sale in Near Bombay Hospital, Mahalaxmi Nagar Indore",4,Villa,Semi-Furnished,4
₹63.8 Lac,1100,,,"Plot/Land for Sale in Kalindi Gold City, Super Corridor Indore",,,,
₹95 Lac,800,3,,3 BHK  House for Sale in Bicholi Mardana Indore,3,House,Semi-Furnished,3
₹60 Lac,1151,3,,3 BHK Flat  for Sale in   Indore,3,,Unfurnished,
₹45 Lac,1108,2,,"2 BHK Flat  for Sale in  Vijay Nagar, Indore",2,,Semi-Furnished,
₹44.3 Lac,1108,2,,"2 BHK Flat  for Sale in  Vijay Nagar, Indore",2,,Unfurnished,
₹43 Lac,1096,2,,"2 BHK Flat  for Sale in  Vijay Nagar, Indore",2,,Furnished,
₹17 Lac,700,1,,"1 BHK Flat  for Sale in  Niranjanpur, Indore",1,,Semi-Furnished,2
₹1.20 Cr,2250,3,,"3 BHK Flat  for Sale in  Schmene No 140, Indore",3,,Unfurnished,
₹1.10 Cr,2325,3,,"3 BHK Flat  for Sale in  Schmene No 140, Indore",3,,Unfurnished,
₹1.05 Cr,2640,4,,"4 BHK Flat  for Sale in  Schmene No 140, Indore",4,,Unfurnished,
₹67 Lac,1500,3,,3 BHK  House for Sale in Devguradia Indore,3,House,Semi-Furnished,3
₹70 Lac,1012,2,,"2 BHK Flat  for Sale in  SS Infinitus, SS Infinitus, Nipania, Indore",2,,Furnished,
₹37 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹16 Lac,4000,,,Plot/Land for Sale in Tejaji Nagar Indore,,,,
₹34 Lac,1000,,,Plot/Land for Sale in Jakhya Indore,,,,
₹42 Lac,850,2,,"2 BHK Flat  for Sale in  Dream City, Dream City, Talawali Chanda, Indore",2,,Semi-Furnished,2
₹85 Lac,750,5,,5 BHK Villa for Sale in Sudama Nagar Indore,5,Villa,Semi-Furnished,
₹53 Lac,,,,Plot/Land for Sale in Silicon City Indore,,,,
₹50 Lac,750,3,,3 BHK  House for Sale in Talawali Chanda Indore,3,House,Semi-Furnished,2
₹34 Lac,870,2,,"2 BHK Flat  for Sale in  Rhythm Regency, Rhythm Regency, Gokul Nagar, Indore",2,,Unfurnished,2
₹48 Lac,935,2,,"2 BHK Flat  for Sale in  Shubh Labh Tirumala Town, Shubh Labh Tirumala Town, Chhota Bangarda, Indore",2,,Unfurnished,2
₹35 Lac,850,2,,"2 BHK Flat  for Sale in  Gateway Shree Shyam Heights, Gateway Shree Shyam Heights, Bicholi Mardana, Indore",2,,Furnished,2
₹5 Cr,5000,,,Land for Sale in Dhar Road Indore,,,,
₹32 Lac,625,2,,"2 BHK  House for Sale in Gyansheela city, Gyanshila Township Indore",2,House,Unfurnished,
₹1.35 Cr,421,,,"Shop for Sale in METRO TOWER, Vijay Nagar Indore",,,,
₹14 Lac,490,1,,"1 BHK Flat  for Sale in  Chandan Towers, Chandan Towers,  Indore",1,,Furnished,
₹55 Lac,1000,3,,"3 BHK  House for Sale in Singapore British Park, Singapore British Park, Ab Road, Indoreq Indore",3,House,,
₹3.75 Cr,2875,3,,Industrial Building for Sale in Mahu Naka Indore,3,,,
₹2.40 Cr,1210,3,,3 BHK  House for Sale in MR 11 Indore,3,House,Furnished,4
₹1.25 Cr,1200,3,,"3 BHK Flat  for Sale in  Old Palasiya, Indore",3,,Furnished,3
₹8.5 Lac,450,1,,"1 BHK Flat  for Sale in  Pigdambar, Indore",1,,Unfurnished,
₹65 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Unfurnished,
₹65 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Unfurnished,
₹65 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Unfurnished,
₹59.6 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Unfurnished,
₹59.6 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Unfurnished,
₹85 Lac,1490,2,,"2 BHK Flat  for Sale in  Atlanta Aura, Atlanta Aura, Nipania, Indore",2,,Furnished,
₹28.5 Lac,850,2,,"2 BHK Flat  for Sale in  Sri Sai RAS Town, Sri Sai RAS Town, AB Road, Indore",2,,Unfurnished,2
₹21 Lac,850,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹2.45 Cr,2100,4,,"4 BHK  House for Sale in Villas Exotica, Vijay Nagar, Indore Indore",4,Villa,Furnished,
₹20 Lac,1100,,,Plot/Land for Sale in Simrol Indore,,,,
₹45 Lac,1250,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Unfurnished,
₹42.6 Lac,1150,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Unfurnished,
₹41.8 Lac,1161,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Unfurnished,
₹41.4 Lac,1150,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Unfurnished,
₹40.3 Lac,1120,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Unfurnished,
₹42.5 Lac,1161,2,,"2 BHK Flat  for Sale in  Scheme No -103, Indore",2,,Semi-Furnished,
₹1 Cr,1500,3,,3 BHK Villa for Sale in Kanadia Main Road Indore,3,Villa,Semi-Furnished,3
₹1.10 Cr,1099,,,"Plot/Land for Sale in Silver Star City, Silicon City Indore",,,,
₹1.25 Cr,1500,3,,3 BHK  House for Sale in Bengali Square Indore,3,House,Semi-Furnished,3
₹2.90 Cr,4500,4,,4 BHK Villa for Sale in DLF Garden City Indore,4,Villa,Unfurnished,5
₹64 Lac,1552,3,,"3 BHK Flat  for Sale in  Chhota Bangarda, Indore",3,,Semi-Furnished,3
₹60 Lac,750,2,,"2 BHK Flat  for Sale in  SS Infinitus, SS Infinitus, Nipania, Indore",2,,Semi-Furnished,2
₹40 Lac,475,,,Office Space for Sale in Yeshwant Niwas Road Indore,,,,
₹24.5 Lac,1000,,,"Plot/Land for Sale in Ideal Paramount City, Super Corridor Indore",,,,
₹18 Lac,600,,,"Plot/Land for Sale in Sarthak Singapore British Park, Manglia Indore",,,,
₹45 Lac,900,,,Plot/Land for Sale in Simrol Indore,,,,
₹65 Lac,1633,,,"Plot/Land for Sale in Infocity, Indore Bypass Road Indore",,,,
₹35 Lac,1000,2,,"2 BHK Flat  for Sale in  Palsikar Colony, Indore",2,,Unfurnished,
₹9.24 Cr,20000,,,Plot/Land for Sale in Ab Road Bijapur Indore,,,,
₹15 Lac,,1,1,"1 BHK Flat  for Sale in  IMC Palash Parisar 1 , IMC Palash Parisar 1, Rau Pithampur Road, Indore",1,,Semi-Furnished,
₹1.35 Cr,1500,3,,3 BHK  House for Sale in Sangam Nagar Indore,3,House,Unfurnished,
₹1.20 Cr,1350,3,,"3 BHK Flat  for Sale in  Tulip Garden, Tulip Garden, Scheme No 140, Indore",3,,Furnished,3
₹25 Lac,1000,,,"Plot/Land for Sale in Atlantis City, Super Corridor Indore",,,,
₹65 Lac,1200,3,,"3 BHK Flat  for Sale in  Shikhar Balaji Skyz, Shikhar Balaji Skyz, Nipania, Indore",3,Apartment,Semi-Furnished,2
₹86 Lac,2153,3,,"3 BHK Flat  for Sale in  Schmene No 140, Indore",3,,Unfurnished,
₹76 Lac,1134,2,,"2 BHK Flat  for Sale in  Heaven Homes, Heaven Homes, Scheme No 140, Indore",2,,Unfurnished,
₹8 Lac,1275,3,,"3 BHK Flat  for Sale in  Bicholi Mardana, Indore",3,,Unfurnished,
₹21.9 Lac,600,,,Plot/Land for Sale in Jhalariya Indore,,,,
₹2.40 Cr,3500,,,Land for Sale in Rajwada Indore,,,,
₹85 Lac,1350,,,Plot/Land for Sale in Revenue Nagar Indore,,,,
₹64 Lac,800,,,Plot/Land for Sale in Revenue Nagar Indore,,,,
₹84 Lac,2200,4,,4 BHK  House for Sale in Scheme 155 Indore,4,House,,
₹38.4 Lac,775,,,Plot/Land for Sale in Scheme 155 Indore,,,,
₹60 Lac,1000,2,2,"2 BHK Flat  for Sale in  Kailash Park Colony, Indore",2,,Unfurnished,
₹63 Lac,1500,,,Plot/Land for Sale in Mhow Indore,,,,
₹63 Lac,1250,,,Plot/Land for Sale in Scheme 155 Indore,,,,
₹31 Lac,600,1,,1 BHK  House for Sale in Ashok Nagar Indore,1,House,,
₹28 Lac,900,1,,1 BHK  House for Sale in Ashok Nagar Indore,1,House,,
₹26 Lac,700,2,,"2 BHK Flat  for Sale in  Scheme No 140, Indore",2,,Unfurnished,2
₹45 Lac,2000,4,,4 BHK  House for Sale in Green Park Colony Indore,4,House,,
₹27 Lac,550,1,,"1 BHK Flat  for Sale in  Bengali Square, Indore",1,,Semi-Furnished,
₹44 Lac,825,2,,"2 BHK Flat  for Sale in  Silicon City, Indore",2,,Unfurnished,2
₹61 Lac,1200,3,,"3 BHK Flat  for Sale in  Shubh Labh Tirumala Town, Shubh Labh Tirumala Town, Chhota Bangarda, Indore",3,,Unfurnished,3
₹52 Lac,1000,,,Plot/Land for Sale in Bada Bangarda Indore,,,,
₹51 Lac,1530,4,,"4 BHK Flat  for Sale in  Malharganj, Indore",4,,Semi-Furnished,4
₹59.5 Lac,1000,,,"Plot/Land for Sale in Singapore Gold City, Indore Bypass Road Indore",,,,
₹14 Lac,400,,,Plot/Land for Sale in Dhan Khedi Indore,,,,
₹60.5 Lac,1000,,,"Plot/Land for Sale in Sarthak Singapore Lifestyle, Tigariya Badshah Indore",,,,
₹3 Cr,3000,6,,6 BHK  House for Sale in 54 C Vandana Nagar Indore,6,House,Unfurnished,
₹24.5 Lac,662,1,,"1 BHK Flat  for Sale in  Vastu Siddhanta Niketan, Vastu Siddhanta Niketan, Super Corridor, Indore",1,,Unfurnished,1
₹30 Lac,1000,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹57.2 Lac,880,,,Plot/Land for Sale in Omaxe City 1 Indore,,,,
₹16.3 Lac,625,1,,1 BHK  House for Sale in Nainod Indore,1,House,Semi-Furnished,1
₹3.25 Cr,3000,5,,5 BHK  House for Sale in Vishnupuri Colony Indore,5,House,Furnished,5
₹98 Lac,2000,3,,"3 BHK  House for Sale in Silver Star City, Silicon City Indore",3,House,Semi-Furnished,3
₹28 Lac,4000,,,Plot/Land for Sale in Rau Indore,,,,
₹2.25 Cr,280,,,Shop for Sale in Ranipura Indore,,,,
₹10 Cr,2400,,,Showroom for Sale in Ranipura Indore,,,,
₹42 Lac,1075,2,,"2 BHK Flat  for Sale in  Prabhu Nagar, Indore",2,,,
₹45.4 Lac,1500,4,,4 BHK  House for Sale in Prabhu Nagar Indore,4,House,,
₹35 Lac,3360,8,,8 BHK Villa for Sale in Bank Colony Indore,8,Villa,,
₹1.55 Cr,1000,,,Shop for Sale in Bank Colony Indore,,,,
₹85 Lac,1200,,,Plot/Land for Sale in Bank Colony Indore,,,,
₹85 Lac,1150,3,3,"3 BHK Flat  for Sale in  Palda, Indore",3,,Semi-Furnished,3
₹90 Lac,800,3,,3 BHK  House for Sale in Silicon City Indore,3,House,Semi-Furnished,3
₹1.25 Cr,1600,4,,4 BHK  House for Sale in Vigyan Nagar Indore,4,House,Semi-Furnished,4
₹15.5 Lac,600,,,Plot/Land for Sale in Khandwa Road Indore,,,,
₹2 Cr,,,,Agricultural Land for Sale in Rau circle harsola gram 1 Indore,,,,
₹1.60 Cr,920,4,,4 BHK  House for Sale in Scheme No. 71 Indore,4,House,Semi-Furnished,4
₹13 Lac,563,1,,"1 BHK Flat  for Sale in  Indore Bypass Road, Indore",1,,Semi-Furnished,
₹36 Lac,900,2,,"2 BHK Flat  for Sale in  Takshshila Malay Gokuldham Society, Takshshila Malay Gokuldham Society, Super Corridor, Indore",2,,Semi-Furnished,2
₹2.50 Cr,4700,5,,"5 BHK Villa for Sale in Barod Avila Meadows, Arandia Indore",5,Villa,Unfurnished,6
₹89.8 Lac,1020,,,Office Space for Sale in Geeta Bhavan Indore,,House,,
₹70 Lac,1700,5,,5 BHK  House for Sale in Ganesh Nagar Indore,5,House,,
₹44 Lac,1200,,,Plot/Land for Sale in Ganesh Nagar Indore,,,,
₹1 Cr,500,,,Shop for Sale in Laxmi Bai Nagar Indore,,,,
₹80 Lac,1300,,,Shop for Sale in Laxmi Bai Nagar Indore,,,,
₹1.50 Cr,4000,10,,> 10 BHK  House for Sale in Laxmi Bai Nagar Indore,10,House,,
₹13 Cr,,,,Industrial Land for Sale in Laxmi Bai Nagar Indore,,,,
₹3.01 Cr,1350,5,,5 BHK  House for Sale in Saket Nagar Indore,5,House,Semi-Furnished,4
₹34 Lac,1033,2,,"2 BHK Flat  for Sale in  Scheme No -114, Indore",2,,Unfurnished,2
₹37 Lac,1500,3,,"3 BHK Flat  for Sale in  Kalod Hala, Indore",3,,Semi-Furnished,
₹29 Lac,,,,"Plot/Land for Sale in Gracelands Highway Glory, Saver Village Indore",,Villa,,
₹1.20 Cr,1600,3,,3 BHK Villa for Sale in Nitaniya Indore,3,Villa,Semi-Furnished,3
₹2.5 Lac,,,,Agricultural Land for Sale in Choral Indore,,,,
₹85 Lac,1500,4,,4 BHK Villa for Sale in Khajrana Indore,4,Villa,Furnished,4
₹36 Lac,1500,4,,4 BHK  House for Sale in Eastern Ring Road Indore,4,House,,
₹3 Cr,5000,10,,> 10 BHK Villa for Sale in Eastern Ring Road Indore,10,Villa,,
₹4.85 Cr,2600,4,,"4 BHK  House for Sale in vijay nagar square indore, Scheme No 54 Indore",4,House,Furnished,
₹75 Lac,10000,,,Plot/Land for Sale in Simrol Indore,,,,
₹4 Cr,5400,6,,6 BHK  House for Sale in Omaxe City 1 Indore,6,House,Furnished,6
₹65 Lac,1000,,,Plot/Land for Sale in Rau Indore,,,,
₹5 Cr,10000,10,,"> 10 BHK Villa for Sale in Aarone Countywalk Oasis, Nipania Indore",10,Villa,Semi-Furnished,9
₹80 Lac,750,2,,2 BHK  House for Sale in Khandwa Road Indore,2,House,Unfurnished,3
₹4.50 Cr,6500,7,,7 BHK Villa for Sale in Rau Indore,7,Villa,Furnished,8
₹25 Lac,1000,2,,2 BHK  House for Sale in Barodiya Ema Indore,2,House,,
₹68 Lac,1000,,,Plot/Land for Sale in Pragati Nagar Indore,,,,
₹16 Cr,40000,,,Plot/Land for Sale in Pragati Nagar Indore,,,,
₹15 Lac,405,1,,"1 BHK Flat  for Sale in  Pragati Nagar, Indore",1,,,
₹25 Lac,600,,,Plot/Land for Sale in AB Road Indore,,,,
₹3.9 Lac,1000,,,Plot/Land for Sale in singapore aakash green Indore,,,,
₹27 Lac,706,1,,"1 BHK Flat  for Sale in  Om Heights, Om Heights, Dhanwantri Nagar, Indore",1,,Semi-Furnished,1
₹49 Lac,1200,2,,"2 BHK Flat  for Sale in  Pranaam Sai Residency, Pranaam Sai Residency, MR 10, Indore",2,,Unfurnished,2
₹11 Lac,375,1,,"1 BHK Flat  for Sale in  AB Road, Indore",1,Apartment,Furnished,1
₹20 Lac,1200,2,,2 BHK  House for Sale in AB Road Indore,2,House,Semi-Furnished,2
₹12.1 Lac,400,1,,1 BHK  House for Sale in Sawariya Nagar Indore,1,House,,
₹21.5 Lac,720,,,"Plot/Land for Sale in Param Vihar, Dudhia Indore",,,,
₹1.62 Cr,2150,3,,"3 BHK Villa for Sale in SS Infinitus Row Houses, MR 11 Indore",3,Villa,Semi-Furnished,
₹20 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹60 Lac,,,,"Agricultural Land for Sale in Asta Roda ,kannod Indore",,,,
₹47 Lac,800,,,Plot/Land for Sale in Bicholi Hapsi Indore,,,,
₹60 Lac,750,,,"Plot/Land for Sale in Godha Estate, Super Corridor Indore",,,,
₹62 Lac,625,3,,"3 BHK  House for Sale in Kalindi Gold City, MR 10 Indore",3,House,Semi-Furnished,3
₹65 Lac,1188,2,,"2 BHK Flat  for Sale in  Sarthak Galaxy II, Sarthak Galaxy II, Rau, Indore",2,,Furnished,2
₹48 Lac,750,2,,"2 BHK Flat  for Sale in  Shiv Vatika Brij Residency, Shiv Vatika Brij Residency, Nipania, Indore",2,,Unfurnished,2
₹32.5 Lac,730,2,,2 BHK  House for Sale in Scheme No. 71 Indore,2,House,Unfurnished,1
₹1.70 Cr,2275,4,,"4 BHK Flat  for Sale in  THE EMPRESS, THE EMPRESS, Nipania, Indore",4,,Semi-Furnished,3
₹66.6 Lac,2200,4,,4 BHK  House for Sale in Scheme 155 Indore,4,House,Semi-Furnished,
₹41.3 Lac,1365,2,,2 BHK  House for Sale in Sahakar Nagar Indore,2,House,Furnished,
₹24 Lac,775,,,Plot/Land for Sale in Scheme 155 Indore,,,,
₹38.8 Lac,1250,,,Plot/Land for Sale in Scheme 155 Indore,,,,
₹47.3 Lac,1351,3,,"3 BHK Flat  for Sale in  Sahakar Nagar, Indore",3,,Unfurnished,
₹1.80 Cr,2300,5,,5 BHK  House for Sale in Mahalakshmi Nagar Indore,5,House,Unfurnished,
₹1.37 Cr,1700,3,,"3 BHK Flat  for Sale in  Dainik Bhaskar Apollo DB City, Dainik Bhaskar Apollo DB City, Nipania, Indore",3,,Unfurnished,3
₹4.4 Lac,1100,,,"Plot/Land for Sale in Pumarth Meadows, Manglaya Sadak Indore",,,,
₹17.5 Lac,658,1,,"1 BHK Flat  for Sale in  New Rani Bagh, Indore",1,,Unfurnished,
₹1.20 Cr,995,4,,4 BHK Villa for Sale in Goyal Vihar Indore,4,Villa,Unfurnished,3
₹95 Lac,1750,3,,"3 BHK  House for Sale in Maa Suraj Vihar, Limbodi Indore",3,House,Unfurnished,
₹27 Lac,868,2,,"2 BHK Flat  for Sale in  Udayraj Galaxy New Rani Bagh, Udayraj Galaxy New Rani Bagh, Rani Bagh B, Indore",2,,Unfurnished,2
₹77.4 Lac,2560,7,,7 BHK  House for Sale in Utkarsh Vihar Colony Indore,7,House,Semi-Furnished,
₹34 Lac,970,3,,"3 BHK Flat  for Sale in  Indore Heights, Indore Heights, Raj Mohalla, Indore",3,,Unfurnished,3
₹2.75 Cr,1900,,,Office Space for Sale in Jangeer Wala Chauraha Indore,,,,
